date,city,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,Z1,Z2,Y
2025-01-06,Valencia,2.099747370379691,1.2509903482694453,2.8500159634868774,2.4512544789026682,5.539486685007685,8.684320024903952,2.4503725452288707,1.2363100182495241,2.1781961705192945,2.792688201512174,0.7460522158166536,0.9361441042746929,9.159897214259258
2025-01-13,Valencia,2.185491859845071,3.2776859088015904,3.2290864987470163,0.8321077692164326,3.6684592500792164,9.025535713175318,2.7449872048965895,1.3330861656060176,2.423057442137889,1.4053664675463224,0.7054199879363847,0.9393055366103236,9.104805529385033
2025-01-20,Valencia,1.7603305463392813,3.491558711260576,3.057375304056021,2.2353102978778066,5.174341535918609,9.472480170232089,1.6203355308070373,1.3253377562284592,5.3212449097703525,1.9554521600622683,0.6995434487479861,0.9504192638737858,9.101381749804352
2025-01-27,Valencia,2.353721818760083,1.5578871510258558,3.018651092794709,2.5099957986827492,5.543390661329262,8.096924122727703,1.6362771652727817,1.2549903756590526,3.488203941016268,4.69188326787103,0.6893010434583833,0.9627143752902894,9.209324738672594
2025-02-03,Valencia,2.1344478218763894,1.7317265994700717,3.5172514268662276,4.073282402931099,4.885426110924091,9.097102688695195,1.8466043889897048,1.4029304501384057,2.6502509474932463,8.141616144761294,0.7000318051206369,0.9810104208704242,9.397205522169624
2025-02-10,Valencia,1.8350282710620383,0.9267441375222087,2.5346335767194184,1.6348505270443079,6.020431573089791,17.09357811066986,1.5491896254143724,1.946410191044128,3.5563308988407183,2.129028721729353,0.6640994052545355,1.0119009114571145,9.34017319756735
2025-02-17,Valencia,2.5652220508219488,1.5350875408197817,2.6098762429080193,8.236173249719158,3.094701075385123,9.146519723641543,1.4829915802794944,1.4059466533725782,6.068080471864016,2.2377299208967463,0.694157044846621,1.0354361153540583,9.26086832579289
2025-02-24,Valencia,2.01367184207109,1.8456544211784744,2.63672560681237,0.9588835536402656,7.945464354781218,7.839351751642107,1.7164548795899017,1.4320696036296794,3.2498605000696434,2.555620494740789,0.6405821220329504,1.0500900513410292,9.188495359482468
2025-03-03,Valencia,1.9281577800969927,1.6848426793137523,4.823831966236271,3.612454371351717,4.2142434480019935,8.2995316556139,1.658034955006164,1.6744560044270633,2.5651120871510598,2.8366220824276294,0.5069344015226566,1.0686612371295379,9.205043619255104
2025-03-10,Valencia,1.4703789085821908,1.126685886767617,2.407958481609498,1.06486088327943,5.275825668589643,9.217170923674178,1.6921949275741541,1.3765544734295692,3.2674860358458595,9.284465902749803,0.3980062573666122,1.0787049945307514,9.286972928097333
2025-03-17,Valencia,1.4349093720725274,3.7458036037165656,2.1814124998433364,2.0021458745280123,0.8059575645101715,6.766376732053383,1.6552222027378418,1.292071017464159,3.510593259797732,3.4646832498376208,0.24568955689089245,1.0844740955575527,9.141280828398198
2025-03-24,Valencia,2.4261301471523486,1.8022339903601226,1.9381535721369887,7.913066849289107,2.4309582495158435,8.14088603380704,1.7586332762641845,0.6955738221025691,3.8578392366677683,1.8992200005096487,0.23824442587792882,1.0926991307416578,9.029830077946112
2025-03-31,Valencia,1.1752528796224635,1.862053071386298,2.53197711997715,5.664745670560917,2.835383738430922,7.891729666503765,2.8369399356637843,0.8495189127519356,3.4312485201335052,1.2065216567090677,0.2270443971168965,1.0967615340441064,8.91378581242119
2025-04-07,Valencia,2.142343353421074,1.6860455329357487,2.401745824453356,15.38787091373506,5.917518732758284,8.376097451304192,1.3315083287476597,1.6187216215011717,6.085133537399526,4.266139940224105,0.2221046533253641,1.1000231933483358,8.933829232977118
2025-04-14,Valencia,1.8511378178334719,1.9554380802271796,2.4984858533117618,12.12513148511084,1.0116157810751354,8.055819200446601,1.5488561101885163,1.651234629560008,3.8633222291183746,2.9515605082363985,0.29615864352546584,1.0851650174379697,8.970927805838159
2025-04-21,Valencia,2.319717226336225,4.19052910070972,2.300594717599841,8.27921366138408,4.113512421005268,6.9417773972840475,1.4485267254498193,1.417717456471733,3.9691308349945285,2.0606030035217486,0.30400602189780945,1.079816426388942,8.950195506741782
2025-04-28,Valencia,2.005388856914811,1.5918842001012994,1.9850906142476565,3.188504631149152,7.205881234666129,7.062354153738452,1.6707013566546147,0.9706775746504913,3.3038601194710413,1.779887777199021,0.3032659242779635,1.077974546302257,8.861475146140682
2025-05-05,Valencia,1.8305858881076464,1.723541418526629,2.6203530545957454,6.815790272626811,1.3672070607761793,15.59649633220764,1.395371532352981,1.6802527448793492,5.731883945786665,1.6204852087456636,0.2540860161915015,1.061735652674884,8.87244407420883
2025-05-12,Valencia,2.430847634529701,3.6699820095185185,2.644552691781822,7.667735746835294,3.1588125760271475,7.173921165016129,1.6357835036882729,1.0283706827073844,3.446307389621804,5.138833313229128,0.22831480572323837,1.0479278996614745,9.01939377560457
