date,city,contrib_C1,contrib_C2,contrib_C3,contrib_C4,contrib_C5,contrib_C6,contrib_C7,contrib_C8,contrib_C9,contrib_C10,contrib_baseline
2025-01-06,Caracas,0.0,0.0,0.0,0.0,1.1267891174410671,0.0,0.0,0.7933497865482488,0.0,0.24354654386256205,7.549888606940241
2025-01-13,Caracas,0.0,0.0,0.0,0.0,1.130823805113333,0.0,0.0,0.7522572387886933,0.0,0.25448059798068146,7.445105994647233
2025-01-20,Caracas,0.0,0.0,0.0,0.0,1.069832823185524,0.0,0.0,0.7703991050275155,0.0,0.260213388937293,7.456167749902715
2025-01-27,Caracas,0.0,0.0,0.0,0.0,0.9295184703606125,0.0,0.0,0.7346541347815908,0.0,0.2794043584881645,7.5252478296354965
2025-02-03,Caracas,0.0,0.0,0.0,0.0,0.8429154879460155,0.0,0.0,0.6621115909422719,0.0,0.26099233666674415,7.5093973630831625
2025-02-10,Caracas,0.0,0.0,0.0,0.0,1.0890508716513203,0.0,0.0,0.6622734962023694,0.0,0.27914828065363173,7.464238574910146
2025-02-17,Caracas,0.0,0.0,0.0,0.0,1.0759965229136164,0.0,0.0,0.6602846743732201,0.0,0.2817992944622381,7.493443564760869
2025-02-24,Caracas,0.0,0.0,0.0,0.0,1.1752559077345737,0.0,0.0,0.8027017385618012,0.0,0.28767543890873554,7.464712117083865
2025-03-03,Caracas,0.0,0.0,0.0,0.0,1.1637234308060256,0.0,0.0,0.745182696120351,0.0,0.31268558719064465,7.391450089975609
2025-03-10,Caracas,0.0,0.0,0.0,0.0,1.214564441951436,0.0,0.0,0.6807390373785346,0.0,0.32431063468248694,7.5252027040605665
2025-03-17,Caracas,0.0,0.0,0.0,0.0,1.1408891683028175,0.0,0.0,0.6291893679221456,0.0,0.32364356833175884,7.336303991478334
2025-03-24,Caracas,0.0,0.0,0.0,0.0,1.0791509014492406,0.0,0.0,0.473678567353548,0.0,0.29864529318105704,7.400036842043769
2025-03-31,Caracas,0.0,0.0,0.0,0.0,1.046702723825485,0.0,0.0,0.7486806986862324,0.0,0.2844084892052017,7.448414122301934
2025-04-07,Caracas,0.0,0.0,0.0,0.0,1.089804624359517,0.0,0.0,0.7167477157901748,0.0,0.31089623531623417,7.453819159313528
2025-04-14,Caracas,0.0,0.0,0.0,0.0,1.04120185801959,0.0,0.0,0.6628977357491068,0.0,0.2996729003464745,7.367552986190633
2025-04-21,Caracas,0.0,0.0,0.0,0.0,1.0116267718341307,0.0,0.0,0.6770501226363391,0.0,0.29828476040062385,7.4074748897107865
2025-04-28,Caracas,0.0,0.0,0.0,0.0,1.0140567122978656,0.0,0.0,0.5845598614139311,0.0,0.30048576081797146,7.371049685596203
2025-05-05,Caracas,0.0,0.0,0.0,0.0,0.9332146650895344,0.0,0.0,0.6667746450127643,0.0,0.26280414842237,7.361572911776946
2025-05-12,Caracas,0.0,0.0,0.0,0.0,1.0255819101827053,0.0,0.0,0.6559057623034292,0.0,0.29383016160365705,7.387193645430838
2025-05-19,Caracas,0.0,0.0,0.0,0.0,1.0429893787035853,0.0,0.0,0.6573465799425855,0.0,0.30637031362856665,7.384196760932454
2025-05-26,Caracas,0.0,0.0,0.0,0.0,1.0294449416573257,0.0,0.0,0.6201022748503796,0.0,0.3238548303201646,7.383524782301046
2025-06-02,Caracas,0.0,0.0,0.0,0.0,0.9533812486465687,0.0,0.0,0.5903343732317419,0.0,0.3222518118277396,7.430608762202527
2025-06-09,Caracas,0.0,0.0,0.0,0.0,0.9045092851578392,0.0,0.0,0.5588566012095396,0.0,0.3272472450054079,7.4126689674657955
2025-06-16,Caracas,0.0,0.0,0.0,0.0,0.8891510508682986,0.0,0.0,0.5360436456651102,0.0,0.3212068659587977,7.309159949937111
